Nom,Prenom,Identifiant,INE,Groupe TD,Groupe TP,Statuts,Parcours,Bac,Année Bac,Type Bac,Courriel
Benard,Joly,bjoly,127350pk,3,5,,,Série générale,2021,,bjoly@iutbayonne.univ-pau.fr
Levasseur,Julien,ljulien,5318955pk,2,4,,,Série générale,2021,,ljulien@iutbayonne.univ-pau.fr
Weiss,Caron,wcaron,5310266pk,3,5,,,Série générale,2021,,wcaron@iutbayonne.univ-pau.fr
Jolly,Leger,jleger,1270641pk,3,5,,,Série générale,2021,,jleger@iutbayonne.univ-pau.fr
Bellanger,Rey,brey,9776967pk,2,4,,,Série générale,2021,,brey@iutbayonne.univ-pau.fr
Lasserre,Durand,ldurand,6478852pk,2,4,,,ST de l'Ind. et du développement durable,2021,,ldurand@iutbayonne.univ-pau.fr
Launay,Chauvin,lchauvin,9966551pk,1,2,,,Série générale,2021,,lchauvin@iutbayonne.univ-pau.fr
Julien,Bernard,jbernard,1153374pk,3,5,,,Série générale,2021,,jbernard@iutbayonne.univ-pau.fr
Prigent,Richard,prichard,4119482pk,3,5,,,Série générale,2021,,prichard@iutbayonne.univ-pau.fr
Tournier,Fleury,tfleury,7613034pk,1,1,red. 1A,,S-Scientifique,2020,,tfleury@iutbayonne.univ-pau.fr
Bourdon,Pasquier,bpasquier,9325277pk,1,1,,,Série générale,2021,,bpasquier@iutbayonne.univ-pau.fr
Carpentier,Daniel,cdaniel,2262150pk,1,2,,,ST de l'Ind. et du développement durable,2021,,cdaniel@iutbayonne.univ-pau.fr
Guy,Guerin,gguerin,7506871pk,2,3,,,ST de l'Ind. et du développement durable,2021,,gguerin@iutbayonne.univ-pau.fr
Raymond,Cousin,rcousin,3597609pk,2,4,,,Série générale,2021,,rcousin@iutbayonne.univ-pau.fr
Bourdon,Berger,bberger,9884861pk,1,1,,,Série générale,2021,,bberger@iutbayonne.univ-pau.fr
Chambon,Besson,cbesson,3290803pk,3,5,,,Série générale,2021,,cbesson@iutbayonne.univ-pau.fr
Gilbert,Morel,gmorel,578533pk,2,3,,,ST de l'Ind. et du développement durable,2021,,gmorel@iutbayonne.univ-pau.fr
Le Goff,Lebrun,llebrun,6160081pk,3,5,Délégué TP5,,Série générale,2021,,llebrun@iutbayonne.univ-pau.fr
Bourgeois,Rolland,brolland,9740989pk,2,4,,,ST de l'Ind. et du développement durable,2021,,brolland@iutbayonne.univ-pau.fr
Letellier,Schneider,lschneider,2707139pk,1,2,,,ST de l'Ind. et du développement durable,2021,,lschneider@iutbayonne.univ-pau.fr
Morand,Germain,mgermain,4525475pk,1,2,,,Série générale,2021,,mgermain@iutbayonne.univ-pau.fr
Lepage,Lefevre,llefevre,5930988pk,2,4,,,ST de l'Ind. et du développement durable,2021,,llefevre@iutbayonne.univ-pau.fr
Payet,Blanc,pblanc,9155505pk,1,2,Délégué TP2,,Série générale,2021,,pblanc@iutbayonne.univ-pau.fr
Ledoux,Antoine,lantoine,5627213pk,2,3,,,Série générale,2021,,lantoine@iutbayonne.univ-pau.fr
Jeanne,Renault,jrenault,7083742pk,1,2,,,ST de l'Ind. et du développement durable,2021,,jrenault@iutbayonne.univ-pau.fr
